City_ID,City,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Country,Date
0,grytviken,-54.2811,-36.5092,-5.69,73,11,2.16,GS,1689488233
1,margaret river,-33.95,115.0667,16.18,60,7,8.32,AU,1689488233
2,port-aux-francais,-49.35,70.2167,1.6,59,90,14.48,TF,1689488233
3,daugavgriva,57.0432,24.0361,22.15,53,0,4.12,LV,1689488233
4,acarau,-2.8856,-40.12,24.61,89,8,6.38,BR,1689488233
5,constantia,44.1833,28.65,27.61,50,0,1.2,RO,1689488120
6,adamstown,-25.066,-130.1015,21.35,88,99,6.42,PN,1689488234
7,vorgashor,67.5833,63.95,19.62,48,19,3.69,RU,1689488253
8,isafjordur,66.0755,-23.124,6.04,90,99,2.76,IS,1689488253
9,port lincoln,-34.7333,135.8667,13.95,55,0,1.83,AU,1689488253
10,kialla,-36.4161,145.3954,13.15,70,0,2.25,AU,1689488253
11,mount pearl,47.5166,-52.7813,16.64,94,20,4.63,CA,1689488253
12,fisterra,42.9049,-9.2629,13.75,65,19,0.22,ES,1689488254
13,naze,28.3667,129.4833,29.51,74,9,7.01,JP,1689488254
14,stanley,54.868,-1.6985,14.6,88,40,7.72,GB,1689488254
15,wailua homesteads,22.0669,-159.378,26.44,82,100,7.2,US,1689488273
16,ust-nera,64.5667,143.2,23.81,45,52,2.4,RU,1689488273
17,arraial do cabo,-22.9661,-42.0278,19.74,77,0,7.53,BR,1689488273
18,prado,-17.3411,-39.2208,21.99,78,100,2.71,BR,1689488041
19,nacozari de garcia,30.3742,-109.6908,24.89,63,100,0.63,MX,1689488274
20,maxixe,-23.8597,35.3472,18.72,71,9,1.96,MZ,1689488274
21,puerto natales,-51.7236,-72.4875,-2.06,92,40,2.08,CL,1689488274
22,puerto ayora,-0.7393,-90.3518,24.19,95,15,3.5,EC,1689488274
23,ribeira grande,38.5167,-28.7,19.32,82,75,3.09,PT,1689488274
24,mandasa,18.8667,84.4667,33.08,57,85,2.93,IN,1689488274
25,kapa'a,22.0752,-159.319,27.18,82,100,7.2,US,1689488274
26,uturoa,-16.7333,-151.4333,26.21,62,2,4.1,PF,1689488145
27,bethel,41.3712,-73.414,25.83,83,100,2.78,US,1689488275
28,waitangi,-43.9535,-176.5597,11.01,77,99,6.72,NZ,1689488127
29,finote selam,10.7,37.2667,18.18,83,50,0.8,ET,1689488275
30,edinburgh of the seven seas,-37.0676,-12.3116,13.18,66,18,11.1,SH,1689488275
31,kapuskasing,49.4169,-82.4331,14.05,100,40,2.06,CA,1689488275
32,zaozersk,69.4005,32.4476,17.46,72,81,3.45,RU,1689488275
